State,County,ZIP Code,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,ZIP - Current Population,
Virginia,Fairfax County,20120,38.84,-77.44,"27,283",629.87,,"43,315",
Virginia,Loudoun County,20180,39.27,-77.63,"14,163",1870.69,"2,360.50","7,571",
Virginia,Prince William County,20111,38.75,-77.43,"6,561",175.14,,"37,461",
Virginia,Arlington County,22201,38.89,-77.1,"5,078",133.60,70.53,"38,010",
Virginia,Henrico County,23059,37.7,-77.57,"3,918",95.54,391.80,"41,009",
Virginia,Virginia Beach city,23450,36.73,-76.04,"3,332",0.00,,,
Virginia,Alexandria city,22301,38.82,-77.06,"3,271",236.91,327.10,"13,807",
Virginia,Chesterfield County,23112,37.43,-77.66,"3,137",55.59,,"56,428",
Virginia,Albemarle County,22901,38.09,-78.56,"2,115",59.39,176.25,"35,610",
Virginia,Stafford County,22405,38.31,-77.4,"1,918",53.58,959.00,"35,795",
Virginia,Richmond city,23173,37.58,-77.54,"1,688",766.92,168.80,"2,201",
Virginia,Chesapeake city,23320,36.75,-76.22,"1,614",26.03,59.78,"62,000",
Virginia,Fairfax city,22034,38.85,-77.29,"1,246",0.00,,,
Virginia,Spotsylvania County,22407,38.28,-77.58,"1,236",19.84,309.00,"62,301",
Virginia,Norfolk city,23501,36.84,-76.28,"1,168",0.00,,,
Virginia,Newport News city,23601,37.04,-76.48,983,37.11,196.60,"26,488",
Virginia,James City County,23081,37.22,-76.76,962,0.00,,0,
Virginia,Fauquier County,22712,38.57,-77.76,889,92.26,,"9,636",
Virginia,Hanover County,23005,37.76,-77.47,879,45.68,30.31,"19,244",
Virginia,Charlottesville city,22902,38.03,-78.48,738,30.43,46.13,"24,256",
Virginia,Falls Church city,22040,38.88,-77.17,700,0.00,,,
Virginia,Frederick County,22655,39.09,-78.22,672,30.32,336.00,"22,161",
Virginia,York County,23665,37.08,-76.37,660,107.00,,"6,168",
Virginia,Montgomery County,24060,37.23,-80.42,632,13.05,11.29,"48,423",
Virginia,Suffolk city,23432,36.88,-76.55,610,497.96,,"1,225",
Virginia,Roanoke County,24019,37.35,-79.95,534,18.94,44.50,"28,194",
Virginia,Hampton city,23630,37.04,-76.29,520,0.00,,,
Virginia,Rockingham County,22815,38.6,-78.79,429,47.91,,"8,954",
Virginia,Roanoke city,24012,37.31,-79.9,395,13.37,39.50,"29,545",
Virginia,Bedford County,24174,37.35,-79.63,393,152.27,,"2,581",
Virginia,Goochland County,23038,37.75,-78.16,350,229.66,,"1,524",
